Name,Rating,Description,Prep Time,Cook Time,Total Time,Servings,Ingredients,Image URL,prep_mins,cook_mins,total_mins,wait_mins,Category Code,Category Name,Category Description
Chicken Souvlaki with Tzatziki Sauce,4.7,Chicken souvlaki skewers are marinated Greek kabobs. Fantastic flavor for chicken. The marinade can also be used for pork.,15 mins,15 mins,2 hrs 30 mins,6,"¼ cup olive oil | 2 cloves garlic, minced | 2 tablespoons lemon juice | 1 teaspoon dried oregano | ½ teaspoon salt | 1 ½ pounds skinless, boneless chicken breast halves - cut into bite-sized pieces | 6 wooden skewers, or as needed | 1 (6 ounce) container plain Greek-style yogurt | ½ cucumber - peeled, seeded, and grated | 1 tablespoon olive oil | 2 teaspoons white vinegar | 1 clove garlic, minced | 1 pinch salt",,15.0,15.0,150.0,120.0,E,Long Wait,Wait time > 30 min
Bacon-Wrapped Cherries,4.7,"This recipe for bacon-wrapped cherries makes one of my favorite appetizers. I say it serves 18 people, but if no one stops me, I will eat the whole batch myself and start making more.",20 mins,5 mins,25 mins,18,"36 maraschino cherries, stemmed, drained and juice reserved | 18 slices bacon slices, halved | 36 toothpicks",https://www.allrecipes.com/thmb/GygB8feaGgJAWyuJgvJfpnMfs8A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2186577-9102777d2a364b1ba5056e6014b9b0ad.jpg,20.0,5.0,25.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
Meatless Mincemeat Pie,4.7,This meatless mincemeat pie is a sweet treat! You can use brandy or apple juice instead of rum in this recipe.,30 mins,40 mins,9 hrs 10 mins,8,"1 (18 ounce) jar prepared mincemeat pie filling | 2 apples, peeled, cored, and chopped | 1 ½ cups chopped walnuts | ½ cup packed brown sugar | ¼ cup rum | 1 tablespoon lemon juice | 1 recipe pastry for a 9 inch double crust pie",https://www.allrecipes.com/thmb/NiGGkS-YcAiXv-xm9N_3IdoM178=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4587652-a2f1790a72774735916b7dc4d2f74da9.jpg,30.0,40.0,550.0,480.0,E,Long Wait,Wait time > 30 min
Vegetable Quesadillas,4.3,"Delicious quesadillas with cheese and steamed vegetables like broccoli, carrot, bell pepper and mushrooms.",10 mins,30 mins,40 mins,2,"1 zucchini, cubed | 1 head fresh broccoli, chopped | 1 red bell pepper, chopped | 1 carrot, chopped | 1 yellow onion, chopped | 4 small button mushrooms, chopped | 4 (10 inch) flour tortillas | ½ cup shredded sharp Cheddar cheese | ½ cup shredded Monterey Jack cheese",https://www.allrecipes.com/thmb/M8KbHWLD5-CC17IfzNEF2DFpkb4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/609198-c30a77e73901481393ce3a9da98c86a9.jpg,10.0,30.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Dad's Lima Bean Soup with Ham Bone,4.9,"This lima bean soup was one of my father's favorite dishes, a staple of Depression-era cooking when fresh meat was scarce, and soup stretched everything. It's simmered until thick and loaded with chunks of ham. Even lima-bean-haters enjoy this hearty soup!",20 mins,4 hrs 10 mins,5 hrs 30 mins,8,"1 ham bone with some meat | 8 cups water, plus more as needed | 1 (16 ounce) package dried lima beans | 1 tablespoon olive oil | 4 stalks celery, diced | 1 onion, diced | ½ pound diced cooked ham | 4 carrots, peeled and sliced | 1 teaspoon salt | 1 teaspoon ground black pepper | 1 teaspoon dried parsley",https://www.allrecipes.com/thmb/kZfxegdJQJOvygySZE2UMp5MtwU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5912703-dads-lima-bean-soup-with-ham-bone-Angel-4x3-1-d0491ac98a3546df86e46e7bd399b077.jpg,20.0,250.0,330.0,60.0,E,Long Wait,Wait time > 30 min
Gheymeh (Persian Beef Stew),,"Gheymeh (Persian beef stew) is a yummy Iranian stew. It can be hot, depending on how many spices you add. There is very little prep, especially if you skip the potatoes, but this Persian beef stew takes several hours to cook, as any stew should.",20 mins,2 hrs 10 mins,2 hrs 30 mins,3,"1 ½ tablespoons oil | 1 medium onion, chopped | 12 ounces beef stew meat, cut into small pieces | 1 cup dried split peas | 2 dried Persian limes | 1 ½ tablespoons tomato paste, or to taste | 1 teaspoon salt | 1 pinch curry powder, or to taste | 1 pinch ground turmeric, or to taste | 1 pinch ground black pepper to taste | water as needed | oil for frying | 8 ounces potatoes, peeled",https://www.allrecipes.com/thmb/yAqVzLWXctT2EN4zY-FeTB3RbsY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8663485_279046_gheymeh-persian-beef-stew-4x3-c6b928bc4c344e3b8b5d7d37a23a49e8.jpg,20.0,130.0,150.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
American Lasagna,4.7,Making this lasagna recipe a day ahead and refrigerating overnight allows the spices to meld and gives it exceptional flavor.,30 mins,1 hr,1 hr 40 mins,8,"1 ½ pounds lean ground beef | 1 onion, chopped | 2 cloves garlic, minced | 1 (29 ounce) can diced tomatoes | 2 (6 ounce) cans tomato paste | 2 tablespoons brown sugar | 1 tablespoon chopped fresh basil | 2 ½ teaspoons salt, divided | 1 teaspoon dried oregano | 12 dry lasagna noodles | 1 pint part-skim ricotta cheese | ½ cup grated Parmesan cheese | 2 large eggs, beaten | 2 tablespoons dried parsley | 1 pound mozzarella cheese, shredded | 2 tablespoons grated Parmesan cheese",,30.0,60.0,100.0,10.0,D,Short Wait,Wait time 1-30 min
Pickled Pepper and Onion Relish,4.2,"This recipe is great on anything that you would put relish on. It's great on brats, hotdogs, and hamburgers. The ingredients are very simple and consist of bell peppers and onions. Great for using up all those end of the season peppers. If you like it hot, you can add jalapeno peppers for a little spice.",30 mins,40 mins,5 hrs 10 mins,128,"3 large onions, cut into thin slices | 8 large green bell peppers, cut into thin strips | 3 jalapeno peppers, seeded and minced | 6 tablespoons pickling spice | 2 cups white sugar | 1 teaspoon salt | 2 cups apple cider vinegar",https://www.allrecipes.com/thmb/CLyP8H42Y5-rUPzOD42_fIAclRI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2079006-c5f86e0a43a94a519bcfb027a9e11332.jpg,30.0,40.0,310.0,240.0,E,Long Wait,Wait time > 30 min
"Slow Cooker Corned Beef, Cabbage, and Potatoes",4.0,"This is a typical St. Patrick's Day meal which is simple, with few ingredients and cooked in a slow cooker so it is super easy, yet delicious! Serve in a large soup mug or bowl with Irish soda bread, rye bread, or rolls on the side.",5 mins,8 hrs,8 hrs 5 mins,6,"10 medium red potatoes, scrubbed | 1 (3 pound) corned beef brisket | 3 tablespoons dried onion flakes | 1 ½ teaspoons pickling spice | 1 teaspoon whole black peppercorns | 1 pinch caraway seeds | 1 small head green cabbage, cored and chopped | 1 teaspoon juniper berries",https://www.allrecipes.com/thmb/Zwg_ex9bZWtDRAhAiVCzIrARjcs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9099957-0841ce83746b4e85a647ec72584aef6c.jpg,5.0,480.0,485.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Gingerbread Biscotti,4.4,"This spicy Italian gingerbread biscotti cookie recipe makes the perfect accompaniment for cocoa or coffee during the holiday season! For a special treat, serve with lemon curd or drizzle with lemon-flavored almond bark.",25 mins,40 mins,1 hr 5 mins,48,1 cup white sugar | 3 eggs | ⅓ cup vegetable oil | ¼ cup molasses | 2 ¼ cups all-purpose flour | 1 cup whole wheat flour | 1 ½ tablespoons ground ginger | 1 tablespoon baking powder | ¾ tablespoon ground cinnamon | ½ tablespoon ground cloves | ¼ teaspoon ground nutmeg,https://www.allrecipes.com/thmb/7y65HnDLBZCAinTBCpMtPZ4Ush4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-43941-gingerbread-biscotti-VAT-4x3-2-50277a652d4046b286ced692c5d1b152.jpg,25.0,40.0,65.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
